Time[ps]     GFree[eV]    Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
2.4300       -6882.1854  -6871.6894   -6902.8042      31.1148  3761.2
2.4400       -6882.1387  -6875.4017   -6899.7006      24.2989  2937.3
2.4500       -6882.1645  -6878.6563   -6901.1382      22.4819  2717.6
2.4600       -6882.1979  -6881.2851   -6903.3309      22.0458  2664.9
2.4700       -6882.2386  -6883.1848   -6905.4541      22.2693  2691.9
2.4800       -6882.2659  -6884.5499   -6907.2221      22.6721  2740.6
2.4900       -6882.3040  -6885.3091   -6906.6869      21.3778  2584.2
2.5000       -6882.3513  -6885.2740   -6907.3275      22.0535  2665.8
2.5100       -6882.3870  -6884.5177   -6906.3282      21.8105  2636.5
2.5200       -6882.4090  -6883.0557   -6908.5425      25.4868  3080.9
2.5300       -6882.3733  -6881.6533   -6908.1568      26.5035  3203.8
2.5400       -6882.3497  -6880.9334   -6906.6411      25.7077  3107.6
2.5500       -6882.3418  -6880.5854   -6903.6926      23.1072  2793.2
2.5600       -6882.3691  -6879.9736   -6903.7872      23.8136  2878.6
2.5700       -6882.3538  -6879.1370   -6905.4533      26.3164  3181.1
2.5800       -6882.3220  -6878.8426   -6905.2359      26.3933  3190.4
2.5900       -6882.2958  -6879.1687   -6904.7929      25.6242  3097.5
2.6000       -6882.2791  -6879.9318   -6905.3355      25.4037  3070.8
2.6100       -6882.2764  -6880.9137   -6904.4382      23.5246  2843.7
2.6200       -6882.3011  -6881.5843   -6904.0612      22.4769  2717.0
2.6300       -6882.3256  -6881.7289   -6905.1140      23.3851  2826.8
2.6400       -6882.3273  -6881.6257   -6907.5816      25.9558  3137.6
2.6500       -6882.3035  -6881.8816   -6906.6561      24.7745  2994.7
2.6600       -6882.3200  -6882.1762   -6903.9905      21.8142  2636.9
2.6700       -6882.3656  -6881.8197   -6904.0947      22.2750  2692.6
2.6800       -6882.3892  -6880.8039   -6904.0273      23.2234  2807.3
2.6900       -6882.3999  -6879.3911   -6903.7136      24.3225  2940.1
2.7000       -6882.3868  -6877.8802   -6904.3789      26.4987  3203.2
2.7100       -6882.3379  -6876.9585   -6905.0967      28.1382  3401.4
2.7200       -6882.2850  -6877.2767   -6904.6659      27.3892  3310.8
2.7300       -6882.2507  -6878.5216   -6903.8820      25.3604  3065.6
2.7400       -6882.2470  -6880.0369   -6904.1091      24.0722  2909.9
2.7500       -6882.2609  -6881.3766   -6904.7560      23.3795  2826.1
2.7600       -6882.2784  -6882.4266   -6905.7955      23.3689  2824.8
2.7700       -6882.3076  -6883.0580   -6904.5004      21.4424  2592.0
2.7800       -6882.3639  -6882.8748   -6903.4068      20.5320  2481.9
2.7900       -6882.4170  -6881.6820   -6903.7452      22.0632  2667.0
2.8000       -6882.4344  -6879.6748   -6904.5143      24.8394  3002.6
2.8100       -6882.4201  -6877.5713   -6902.4767      24.9054  3010.6
2.8200       -6882.3978  -6875.6395   -6902.7755      27.1361  3280.2
2.8300       -6882.3411  -6874.5000   -6902.8718      28.3718  3429.6
2.8400       -6882.2827  -6874.7273   -6902.4497      27.7223  3351.1
2.8500       -6882.2479  -6876.0376   -6901.4279      25.3904  3069.2
2.8600       -6882.2580  -6877.4491   -6899.6000      22.1508  2677.6
2.8700       -6882.2966  -6878.2374   -6901.0097      22.7723  2752.7
2.8800       -6882.3100  -6878.5791   -6902.8520      24.2729  2934.1
2.8900       -6882.3062  -6878.8701   -6903.7472      24.8772  3007.2
2.9000       -6882.3022  -6879.2588   -6903.5653      24.3065  2938.2
2.9100       -6882.3079  -6879.6241   -6903.7295      24.1054  2913.9
2.9200       -6882.3230  -6879.8316   -6902.2335      22.4018  2707.9
2.9300       -6882.3667  -6879.4641   -6900.6991      21.2350  2566.9
2.9400       -6882.4052  -6878.2585   -6901.3839      23.1254  2795.4
2.9500       -6882.4124  -6876.5385   -6901.2019      24.6634  2981.3
2.9600       -6882.3921  -6874.7927   -6901.8191      27.0265  3267.0
2.9700       -6882.3389  -6873.7934   -6901.4693      27.6759  3345.5
2.9800       -6882.3011  -6873.8657   -6899.8754      26.0097  3144.1
2.9900       -6882.2745  -6874.5552   -6901.0816      26.5264  3206.5
3.0000       -6882.2420  -6875.9591   -6902.2223      26.2632  3174.7
3.0100       -6882.2295  -6877.8165   -6901.8529      24.0364  2905.5
3.0200       -6882.2522  -6879.3783   -6901.1843      21.8060  2635.9
3.0300       -6882.2939  -6880.2370   -6903.0282      22.7912  2755.0
3.0400       -6882.3130  -6880.6265   -6903.8546      23.2281  2807.8
3.0500       -6882.3421  -6880.5951   -6902.0978      21.5026  2599.2
3.0600       -6882.3895  -6879.8210   -6902.0176      22.1966  2683.1
3.0700       -6882.4132  -6878.3415   -6901.7847      23.4432  2833.8
3.0800       -6882.4278  -6876.4963   -6899.5753      23.0789  2789.8
3.0900       -6882.4398  -6874.2768   -6899.3363      25.0595  3029.2
3.1000       -6882.3988  -6872.0165   -6900.7364      28.7199  3471.7
