Time[ps]     GFree[eV]    Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
1.6200       -6887.0410  -6893.4253   -6907.3809      13.9558  1687.0
1.6300       -6887.0942  -6894.2651   -6907.5918      13.3264  1610.9
1.6400       -6887.1357  -6894.3774   -6909.2285      14.8513  1795.2
1.6500       -6887.1382  -6894.0444   -6909.8994      15.8549  1916.5
1.6600       -6887.1489  -6893.5493   -6908.6782      15.1291  1828.8
1.6700       -6887.1753  -6892.7495   -6906.9463      14.1969  1716.1
1.6800       -6887.1963  -6891.3945   -6908.2808      16.8865  2041.2
1.6900       -6887.1694  -6889.9849   -6909.1548      19.1699  2317.3
1.7000       -6887.1069  -6889.4922   -6909.3179      19.8257  2396.5
1.7100       -6887.0688  -6890.2295   -6908.1152      17.8858  2162.0
1.7200       -6887.0562  -6891.4160   -6907.5249      16.1090  1947.3
1.7300       -6887.0757  -6892.5229   -6908.1831      15.6601  1893.0
1.7400       -6887.0811  -6893.4258   -6908.8975      15.4714  1870.2
1.7500       -6887.1079  -6893.9854   -6907.3179      13.3327  1611.7
1.7600       -6887.1572  -6893.7910   -6907.2925      13.5014  1632.1
1.7700       -6887.1787  -6892.8247   -6908.5732      15.7485  1903.7
1.7800       -6887.1929  -6891.5669   -6907.5811      16.0144  1935.8
1.7900       -6887.1924  -6890.2017   -6906.4004      16.1989  1958.1
1.8000       -6887.1797  -6888.7930   -6907.2773      18.4844  2234.4
1.8100       -6887.1196  -6888.0063   -6908.5552      20.5488  2483.9
1.8200       -6887.0645  -6888.6792   -6907.2446      18.5653  2244.2
1.8300       -6887.0405  -6890.1211   -6907.3594      17.2383  2083.8
1.8400       -6887.0312  -6891.7251   -6907.3574      15.6326  1889.7
1.8500       -6887.0581  -6893.0762   -6908.1187      15.0423  1818.3
1.8600       -6887.0728  -6893.9805   -6908.0679      14.0875  1702.9
1.8700       -6887.1216  -6894.2998   -6908.4961      14.1964  1716.1
1.8800       -6887.1475  -6894.0327   -6908.5259      14.4930  1751.9
1.8900       -6887.1763  -6893.2661   -6908.3721      15.1059  1826.0
1.9000       -6887.1787  -6892.0840   -6908.3042      16.2202  1960.7
1.9100       -6887.1719  -6890.8096   -6906.7637      15.9543  1928.6
1.9200       -6887.1704  -6889.4673   -6907.1377      17.6704  2136.0
1.9300       -6887.1348  -6888.4644   -6908.1055      19.6409  2374.2
1.9400       -6887.0825  -6888.5688   -6907.3540      18.7850  2270.7
1.9500       -6887.0615  -6889.5425   -6906.9937      17.4509  2109.5
1.9600       -6887.0479  -6890.9302   -6908.4814      17.5510  2121.6
1.9700       -6887.0273  -6892.6138   -6908.3682      15.7542  1904.4
1.9800       -6887.0659  -6893.8755   -6906.9346      13.0589  1578.6
1.9900       -6887.1138  -6894.2710   -6907.5679      13.2967  1607.3
2.0000       -6887.1514  -6893.9233   -6908.9814      15.0580  1820.2
2.0100       -6887.1543  -6893.1396   -6909.5698      16.4300  1986.1
2.0200       -6887.1582  -6892.3491   -6909.2603      16.9110  2044.2
2.0300       -6887.1475  -6891.7241   -6908.3115      16.5874  2005.1
2.0400       -6887.1460  -6891.1890   -6906.3828      15.1939  1836.6
2.0500       -6887.1616  -6890.4111   -6906.1147      15.7036  1898.3
2.0600       -6887.1553  -6889.4224   -6907.7051      18.2828  2210.0
2.0700       -6887.1064  -6888.9780   -6908.0376      19.0595  2303.9
2.0800       -6887.0845  -6889.4258   -6906.2656      16.8398  2035.6
2.0900       -6887.0894  -6890.0347   -6905.4609      15.4263  1864.7
2.1000       -6887.1016  -6890.4238   -6906.6753      16.2513  1964.5
2.1100       -6887.0947  -6890.8491   -6908.2896      17.4407  2108.2
2.1200       -6887.0771  -6891.5933   -6908.3696      16.7761  2027.9
2.1300       -6887.0801  -6892.4888   -6908.7153      16.2266  1961.5
2.1400       -6887.0869  -6893.2617   -6907.5811      14.3194  1730.9
2.1500       -6887.1333  -6893.4150   -6905.5679      12.1530  1469.1
2.1600       -6887.1963  -6892.6274   -6906.3145      13.6868  1654.5
2.1700       -6887.2104  -6890.9409   -6907.7163      16.7755  2027.8
2.1800       -6887.1895  -6889.1201   -6907.4829      18.3630  2219.7
2.1900       -6887.1484  -6887.9106   -6906.8911      18.9804  2294.4
2.2000       -6887.1147  -6887.6465   -6906.2065      18.5600  2243.5
2.2100       -6887.0825  -6888.1870   -6906.0562      17.8694  2160.1
2.2200       -6887.0708  -6889.1128   -6904.4780      15.3654  1857.4
2.2300       -6887.0923  -6889.8599   -6906.4287      16.5689  2002.9
2.2400       -6887.0801  -6890.7202   -6908.0542      17.3340  2095.3
2.2500       -6887.0571  -6891.8813   -6908.4521      16.5706  2003.1
2.2600       -6887.0742  -6892.9536   -6906.7856      13.8320  1672.0
2.2700       -6887.1299  -6893.3237   -6906.7275      13.4039  1620.3
2.2800       -6887.1528  -6892.9624   -6908.6226      15.6602  1893.0
2.2900       -6887.1582  -6892.3208   -6908.1021      15.7813  1907.6
2.3000       -6887.1880  -6891.5405   -6905.3594      13.8186  1670.4
2.3100       -6887.2065  -6890.1543   -6906.9360      16.7819  2028.6
2.3200       -6887.1724  -6888.6050   -6907.6504      19.0454  2302.2
2.3300       -6887.1289  -6887.9072   -6905.9741      18.0667  2183.9
2.3400       -6887.0967  -6887.9453   -6906.9897      19.0446  2302.1
