Time[ps]     GFree[eV]    Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
2.5000       -6883.5251  -6882.6292   -6902.6944      20.0652  2425.5
2.5100       -6883.5887  -6882.1857   -6903.2655      21.0798  2548.1
2.5200       -6883.6205  -6880.7827   -6905.3624      24.5796  2971.2
2.5300       -6883.5917  -6879.1604   -6906.0654      26.9050  3252.3
2.5400       -6883.5544  -6878.2678   -6904.6622      26.3944  3190.6
2.5500       -6883.5314  -6878.0407   -6903.3347      25.2940  3057.5
2.5600       -6883.5259  -6878.1096   -6902.5687      24.4591  2956.6
2.5700       -6883.5305  -6878.1690   -6901.6238      23.4548  2835.2
2.5800       -6883.5426  -6878.0093   -6902.6885      24.6793  2983.2
2.5900       -6883.5250  -6877.9124   -6904.1294      26.2170  3169.1
2.6000       -6883.4904  -6878.4076   -6905.2002      26.7926  3238.7
2.6100       -6883.4616  -6879.6378   -6905.2000      25.5622  3090.0
2.6200       -6883.4604  -6881.0934   -6904.2428      23.1494  2798.3
2.6300       -6883.4920  -6882.1285   -6904.4510      22.3226  2698.4
2.6400       -6883.5236  -6882.5534   -6905.2045      22.6512  2738.1
2.6500       -6883.5452  -6882.5064   -6906.2137      23.7072  2865.7
2.6600       -6883.5649  -6882.1394   -6903.9080      21.7686  2631.4
2.6700       -6883.6051  -6881.1305   -6904.2803      23.1498  2798.4
2.6800       -6883.6132  -6879.6186   -6903.5775      23.9590  2896.2
2.6900       -6883.6202  -6877.9472   -6902.1577      24.2105  2926.6
2.7000       -6883.6041  -6876.1676   -6903.0757      26.9081  3252.7
2.7100       -6883.5505  -6875.0698   -6903.3998      28.3299  3424.5
2.7200       -6883.4825  -6875.3710   -6904.3175      28.9465  3499.1
2.7300       -6883.4251  -6877.1621   -6903.6854      26.5233  3206.2
2.7400       -6883.4155  -6879.4485   -6903.0353      23.5868  2851.2
2.7500       -6883.4445  -6881.3288   -6903.6686      22.3398  2700.4
2.7600       -6883.4851  -6882.5652   -6903.7393      21.1742  2559.5
2.7700       -6883.5527  -6882.8207   -6901.9707      19.1500  2314.9
2.7800       -6883.6214  -6881.8025   -6903.8969      22.0944  2670.8
2.7900       -6883.6219  -6879.8802   -6906.3078      26.4276  3194.6
2.8000       -6883.5872  -6878.3331   -6904.1888      25.8557  3125.5
2.8100       -6883.5702  -6877.3207   -6902.9937      25.6730  3103.4
2.8200       -6883.5420  -6876.7447   -6903.3668      26.6221  3218.1
2.8300       -6883.5146  -6876.8331   -6902.1130      25.2799  3055.8
2.8400       -6883.5128  -6877.1974   -6901.1232      23.9258  2892.2
2.8500       -6883.5255  -6877.4134   -6900.9478      23.5344  2844.8
2.8600       -6883.5308  -6877.3936   -6902.0562      24.6626  2981.2
2.8700       -6883.5100  -6877.5277   -6905.0089      27.4812  3321.9
2.8800       -6883.4612  -6878.5913   -6904.7338      26.1425  3160.1
2.8900       -6883.4667  -6879.9739   -6901.8212      21.8473  2640.9
2.9000       -6883.5184  -6880.6354   -6902.7887      22.1534  2677.9
2.9100       -6883.5425  -6880.6503   -6903.7733      23.1230  2795.1
2.9200       -6883.5563  -6880.2851   -6904.3022      24.0170  2903.2
2.9300       -6883.5626  -6879.7428   -6903.3741      23.6312  2856.6
2.9400       -6883.5812  -6878.9709   -6901.7107      22.7399  2748.8
2.9500       -6883.6017  -6877.7562   -6902.0610      24.3048  2938.0
