Time[ps]     GFree[eV]    Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
1.6900       -6889.3511  -6889.4731   -6907.6489      18.1759  2197.1
1.7000       -6889.3208  -6888.2612   -6907.4390      19.1776  2318.2
1.7100       -6889.2397  -6888.0156   -6907.0049      18.9891  2295.4
1.7200       -6889.2373  -6888.7817   -6906.5913      17.8098  2152.9
1.7300       -6889.2075  -6889.9375   -6906.4771      16.5396  1999.3
1.7400       -6889.2148  -6891.1382   -6906.5625      15.4243  1864.5
1.7500       -6889.2222  -6891.9800   -6906.6973      14.7174  1779.0
1.7600       -6889.2549  -6892.4380   -6907.4028      14.9646  1808.9
1.7700       -6889.2915  -6892.4663   -6906.4131      13.9467  1685.9
1.7800       -6889.3135  -6891.8818   -6906.7773      14.8954  1800.6
1.7900       -6889.3545  -6890.8604   -6905.8735      15.0134  1814.8
1.8000       -6889.3745  -6889.4619   -6904.6499      15.1878  1835.9
1.8100       -6889.3687  -6887.6489   -6905.8369      18.1880  2198.6
1.8200       -6889.2988  -6886.1782   -6906.4902      20.3119  2455.3
1.8300       -6889.2510  -6886.1558   -6905.8711      19.7155  2383.2
1.8400       -6889.2007  -6887.3984   -6906.2510      18.8527  2278.9
1.8500       -6889.1685  -6889.4585   -6906.8911      17.4324  2107.2
1.8600       -6889.1724  -6891.6147   -6906.4224      14.8075  1789.9
1.8700       -6889.1943  -6893.0894   -6906.5073      13.4179  1622.0
1.8800       -6889.2705  -6893.8247   -6906.8794      13.0545  1578.0
1.8900       -6889.3135  -6893.6890   -6906.4614      12.7727  1544.0
1.9000       -6889.3550  -6892.6782   -6907.5923      14.9139  1802.8
1.9100       -6889.3296  -6891.0332   -6908.5752      17.5422  2120.5
1.9200       -6889.3516  -6889.6699   -6907.8413      18.1716  2196.6
1.9300       -6889.3076  -6888.8804   -6907.2988      18.4184  2226.4
1.9400       -6889.2607  -6888.8516   -6907.5337      18.6823  2258.3
1.9500       -6889.2231  -6889.6802   -6908.0229      18.3426  2217.3
1.9600       -6889.1948  -6891.1523   -6908.3081      17.1557  2073.8
1.9700       -6889.1841  -6892.7734   -6908.5234      15.7502  1903.9
1.9800       -6889.2271  -6894.2173   -6909.6958      15.4785  1871.0
1.9900       -6889.2217  -6895.3564   -6910.3955      15.0392  1817.9
2.0000       -6889.2603  -6896.0659   -6909.7329      13.6669  1652.1
2.0100       -6889.2769  -6896.0796   -6910.5942      14.5146  1754.5
2.0200       -6889.3218  -6895.6128   -6910.6523      15.0395  1818.0
2.0300       -6889.3501  -6894.7559   -6909.8008      15.0448  1818.6
2.0400       -6889.3486  -6893.5049   -6909.4326      15.9276  1925.3
2.0500       -6889.3467  -6892.0752   -6909.8535      17.7784  2149.1
2.0600       -6889.3154  -6890.9927   -6908.8965      17.9038  2164.2
2.0700       -6889.2988  -6890.4512   -6906.9263      16.4752  1991.5
2.0800       -6889.2964  -6890.0547   -6907.0513      16.9966  2054.6
2.0900       -6889.2637  -6889.8892   -6907.8804      17.9910  2174.8
2.1000       -6889.2637  -6890.1958   -6906.1909      15.9952  1933.5
2.1100       -6889.2705  -6890.4878   -6907.0688      16.5809  2004.3
2.1200       -6889.2500  -6890.8198   -6906.8911      16.0711  1942.7
2.1300       -6889.2593  -6891.0527   -6906.1606      15.1079  1826.3
2.1400       -6889.2656  -6890.9844   -6907.0146      16.0304  1937.8
2.1500       -6889.2881  -6890.8882   -6908.3965      17.5085  2116.4
2.1600       -6889.2749  -6891.1494   -6908.9668      17.8171  2153.7
2.1700       -6889.2290  -6891.7925   -6908.0986      16.3060  1971.1
2.1800       -6889.2324  -6892.4990   -6908.8574      16.3585  1977.4
2.1900       -6889.2329  -6893.2329   -6909.6660      16.4333  1986.5
2.2000       -6889.2358  -6893.9673   -6909.4092      15.4417  1866.6
2.2100       -6889.2583  -6894.3857   -6908.5503      14.1645  1712.2
2.2200       -6889.3193  -6894.2666   -6908.3599      14.0934  1703.6
2.2300       -6889.3213  -6893.5000   -6908.7495      15.2494  1843.4
2.2400       -6889.3379  -6892.3887   -6909.8638      17.4752  2112.4
2.2500       -6889.3120  -6891.4961   -6908.6602      17.1642  2074.8
2.2600       -6889.2783  -6890.8838   -6906.7104      15.8268  1913.2
2.2700       -6889.2983  -6890.2646   -6907.2681      17.0032  2055.4
2.2800       -6889.2759  -6889.8188   -6908.2349      18.4158  2226.1
2.2900       -6889.2559  -6890.0610   -6908.0811      18.0202  2178.3
2.3000       -6889.2437  -6890.8149   -6906.8052      15.9904  1932.9
2.3100       -6889.2568  -6891.3535   -6905.0381      13.6847  1654.2
2.3200       -6889.2783  -6891.2422   -6906.1323      14.8902  1799.9
2.3300       -6889.3115  -6890.7393   -6907.2046      16.4652  1990.3
2.3400       -6889.2861  -6890.1680   -6906.2900      16.1222  1948.9
2.3500       -6889.2988  -6889.6045   -6905.7935      16.1889  1956.9
2.3600       -6889.2974  -6888.9907   -6905.4795      16.4887  1993.2
2.3700       -6889.2852  -6888.4497   -6905.9907      17.5411  2120.4
2.3800       -6889.2769  -6888.2935   -6905.8188      17.5255  2118.5
2.3900       -6889.2354  -6888.4624   -6904.8145      16.3520  1976.6
2.4000       -6889.2695  -6888.7964   -6906.1147      17.3185  2093.5
2.4100       -6889.2485  -6889.4473   -6907.1802      17.7330  2143.6
2.4200       -6889.2158  -6890.4287   -6906.1621      15.7333  1901.8
2.4300       -6889.2339  -6891.2007   -6905.8320      14.6314  1768.7
2.4400       -6889.2715  -6891.4893   -6905.5322      14.0432  1697.5
2.4500       -6889.2837  -6891.2046   -6907.5405      16.3358  1974.7
2.4600       -6889.2778  -6890.9072   -6909.3442      18.4370  2228.7
2.4700       -6889.2573  -6891.2793   -6909.4189      18.1397  2192.7
2.4800       -6889.2178  -6892.1685   -6908.3760      16.2074  1959.2
2.4900       -6889.2559  -6893.0103   -6908.2227      15.2123  1838.9
2.5000       -6889.2573  -6893.5591   -6909.7144      16.1551  1952.8
2.5100       -6889.2563  -6894.0674   -6910.2930      16.2255  1961.3
2.5200       -6889.2568  -6894.5142   -6909.9219      15.4079  1862.5
2.5300       -6889.2783  -6894.6968   -6909.3750      14.6783  1774.3
2.5400       -6889.3198  -6894.4229   -6907.8853      13.4622  1627.3
