Time[ps]     GFree[eV]    Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
1.7800       -6880.7964  -6874.4277   -6901.8057      27.3780  3309.5
1.7900       -6880.7363  -6873.8047   -6902.1704      28.3655  3428.8
1.8000       -6880.6841  -6874.5034   -6901.3672      26.8640  3247.3
1.8100       -6880.6567  -6876.0527   -6902.0371      25.9845  3141.0
1.8200       -6880.6470  -6877.9580   -6901.7129      23.7550  2871.5
1.8300       -6880.6753  -6879.5249   -6901.5771      22.0524  2665.7
1.8400       -6880.7202  -6880.3213   -6900.6572      20.3357  2458.2
1.8500       -6880.7837  -6880.0850   -6901.9331      21.8482  2641.0
1.8600       -6880.8057  -6879.0513   -6902.5356      23.4842  2838.8
1.8700       -6880.8140  -6877.6694   -6900.8447      23.1754  2801.5
1.8800       -6880.8223  -6875.9556   -6902.4971      26.5417  3208.4
1.8900       -6880.7725  -6874.6733   -6901.6816      27.0082  3264.8
1.9000       -6880.7515  -6874.1694   -6897.2964      23.1270  2795.6
1.9100       -6880.7661  -6873.5513   -6900.3218      26.7706  3236.0
1.9200       -6880.7017  -6873.6567   -6903.4248      29.7683  3598.4
1.9300       -6880.6343  -6875.4688   -6901.9150      26.4463  3196.8
1.9400       -6880.6309  -6877.7534   -6901.6177      23.8643  2884.7
1.9500       -6880.6509  -6879.8008   -6903.3286      23.5276  2844.0
1.9600       -6880.6685  -6881.5898   -6904.8799      23.2901  2815.3
1.9700       -6880.6953  -6882.9004   -6904.4741      21.5735  2607.8
1.9800       -6880.7495  -6883.4385   -6905.2949      21.8566  2642.0
1.9900       -6880.7808  -6883.2397   -6905.7954      22.5555  2726.5
2.0000       -6880.8008  -6882.5063   -6906.7407      24.2345  2929.5
2.0100       -6880.7988  -6881.6353   -6906.2441      24.6086  2974.7
2.0200       -6880.8013  -6880.7925   -6904.0547      23.2624  2812.0
2.0300       -6880.8159  -6879.6689   -6903.0308      23.3619  2824.0
2.0400       -6880.8188  -6878.2168   -6903.2876      25.0706  3030.6
2.0500       -6880.8003  -6876.8843   -6903.4678      26.5833  3213.4
2.0600       -6880.7734  -6876.1191   -6900.1504      24.0310  2904.9
2.0700       -6880.7896  -6875.3823   -6899.6206      24.2382  2929.9
2.0800       -6880.7754  -6874.5854   -6901.1411      26.5557  3210.1
2.0900       -6880.7358  -6874.4067   -6901.0488      26.6422  3220.5
2.1000       -6880.7070  -6874.9561   -6900.6187      25.6625  3102.1
2.1100       -6880.6963  -6875.8398   -6900.3340      24.4942  2960.9
2.1200       -6880.6914  -6876.8716   -6902.6367      25.7650  3114.5
2.1300       -6880.6821  -6878.1982   -6902.2217      24.0233  2904.0
2.1400       -6880.6973  -6879.3354   -6901.8638      22.5285  2723.2
2.1500       -6880.7314  -6879.9141   -6902.5835      22.6695  2740.3
2.1600       -6880.7544  -6880.0366   -6903.9214      23.8848  2887.2
2.1700       -6880.7671  -6879.9004   -6902.4395      22.5390  2724.5
2.1800       -6880.7954  -6879.2559   -6901.6074      22.3517  2701.9
2.1900       -6880.8135  -6878.0361   -6903.0757      25.0395  3026.8
2.2000       -6880.7861  -6876.8687   -6904.2266      27.3581  3307.1
2.2100       -6880.7437  -6876.5151   -6901.2974      24.7822  2995.7
2.2200       -6880.7598  -6876.3491   -6899.7539      23.4047  2829.2
2.2300       -6880.7588  -6875.9756   -6901.9404      25.9650  3138.7
2.2400       -6880.7349  -6876.0015   -6901.7065      25.7052  3107.3
2.2500       -6880.7202  -6876.4194   -6901.5708      25.1512  3040.3
2.2600       -6880.7036  -6877.2231   -6904.0205      26.7976  3239.3
2.2700       -6880.6724  -6878.6851   -6903.6650      24.9799  3019.6
2.2800       -6880.6899  -6880.1470   -6902.7256      22.5787  2729.3
2.2900       -6880.7236  -6881.0884   -6903.4277      22.3392  2700.4
2.3000       -6880.7651  -6881.3613   -6902.3457      20.9844  2536.6
2.3100       -6880.8140  -6880.7388   -6902.4883      21.7495  2629.1
2.3200       -6880.8438  -6879.3188   -6903.2251      23.9062  2889.8
2.3300       -6880.8340  -6877.5806   -6902.7251      25.1444  3039.5
2.3400       -6880.8203  -6875.9941   -6900.5366      24.5426  2966.7
2.3500       -6880.8081  -6874.5156   -6901.8955      27.3798  3309.7
2.3600       -6880.7466  -6873.9307   -6902.7007      28.7701  3477.7
2.3700       -6880.6880  -6874.7876   -6901.9355      27.1482  3281.7
2.3800       -6880.6504  -6876.6079   -6902.6147      26.0070  3143.7
